name,size,from,to,comment,parent,alt_names,formatter
Internal Use,21,1,21,,,,
Intersection Replication Counter,1,22,22,,,,
DCP-Preferred LGC for Street 1,2,23,24,,,,
DCP-Preferred LGC for Street 2,2,25,26,,,,
Number of Intersecting Streets,1,27,27,,,,
List of Intersecting Streets,30,28,57,"(Up to five B5SCs, 6 bytes each)",,,6
Compass Direction for Intersection Key or Counter for Multiple Intersections,1,58,58,,,,
Atomic Polygon,3,59,61,Was Dynamic Block,,,
LION Node Number,7,64,70,,,,
SPATIAL COORDINATES:,21,71,91,,,,
X Coordinate,7,71,77,,SPATIAL COORDINATES:,,
Y Coordinate,7,78,84,,SPATIAL COORDINATES:,,
Reserved for possible Z Coordinate,7,85,91,,SPATIAL COORDINATES:,,
SBVP1 (SANBORN MAP IDENTIFIER):,8,92,99,,,,
Borough Code,1,92,92,,SBVP1 (SANBORN MAP IDENTIFIER):,,
Volume Number,2,93,94,,SBVP1 (SANBORN MAP IDENTIFIER):,,
Volume Number Suffix,1,95,95,,SBVP1 (SANBORN MAP IDENTIFIER):,,
Page Number,3,96,98,,SBVP1 (SANBORN MAP IDENTIFIER):,,
Page Number Suffix,1,99,99,,SBVP1 (SANBORN MAP IDENTIFIER):,,
SBVP2 (SANBORN MAP IDENTIFIER):,8,100,107,,,,
Borough Code,1,100,100,,SBVP2 (SANBORN MAP IDENTIFIER):,,
Volume Number,2,101,102,,SBVP2 (SANBORN MAP IDENTIFIER):,,
Volume Number Suffix,1,103,103,,SBVP2 (SANBORN MAP IDENTIFIER):,,
Page Number,3,104,106,,SBVP2 (SANBORN MAP IDENTIFIER):,,
Page Number Suffix,1,107,107,,SBVP2 (SANBORN MAP IDENTIFIER):,,
Marble Hill/Rikers Island Alternative Borough Flag,1,108,108,,,,
DOT Street Light Contractor Area,1,109,109,,,,
COMMUNITY DISTRICT:,3,110,112,,,,
Community District Borough Code,1,110,110,,COMMUNITY DISTRICT:,,
Community District Number,2,111,112,,COMMUNITY DISTRICT:,,
ZIP Code,5,113,117,,,,
Health Area,4,118,121,,,,
Police Patrol Borough Command,1,122,122,,,,
Police Precinct,3,123,125,,,,
Fire Division,2,126,127,,,,
Fire Battalion,2,128,129,,,,
Fire Company Type,1,130,130,,,,
Fire Company Number,3,131,133,,,,
Community School District,2,134,135,,,,
2010 Census Tract,6,136,141,,,,CT
1990 Census Tract,6,142,147,,,,CT
List of Pairs of Level Codes,10,148,157,Not Implemented,,,
Police Patrol Borough,2,158,159,,,,
Assembly District,2,160,161,,,,
Congressional District,2,162,163,,,,
State Senatorial District,2,164,165,,,,
Civil Court District,2,166,167,,,,
City Council District,2,168,169,,,,
CD Eligibility,1,170,170,,,,
Distance Between Duplicate Intersections,5,171,175,,,,
2000 Census Tract,6,176,181,,,,CT
Health Center District,2,182,183,,,,
Sanitation District,3,184,186,,,,
Sanitation Section/Subsection,2,187,188,,,,
Police Sector,4,189,192,,,,
2020 Census Tract,6,193,198,,,,CT
Filler,2,199,200,,,,
